"","","","","","","","","","","",""
"Title","Starred","Contains","Contains","Contains","Contains","Contains","Contains","Dublin Core Source - Transcribees","Dublin Core Source - Google Spreadsheet Transcription","RDF Conversion Setup Script","See Also"
"A'wakin N' Bacon","","Scrambled Eggs","Bacon","Mozzerella","-","-","-","https://github.com/timrdf/csv2rdf4lod-automation/tree/master/doc/examples/source/dpdoughtroy-com/menu-on-wall/version/2011-Apr-20/source","https://spreadsheets.google.com/spreadsheet/ccc?pli=1&hl=en&key=t7_5xgxUiHibGpbWFPtVQLA&hl=en#gid=0","https://github.com/timrdf/csv2rdf4lod-automation/blob/master/doc/examples/source/dpdoughtroy-com/menu-on-wall-transcription/version/2source.sh","http://www.dpdoughtroy.com/menu"
"BBQ Chicken","","Breaded Chicken","Bacon","Cheddar","BBQ Sauce","-","-","","","",""
"BBQ Steak","","Steak","Mozzerella","American","BBQ Sauce","-","-","","","",""
"The Bomb Zone","","Steak","Spinach","Mushrooms","Garlic","Ricotta","Parmesan","","","",""
"Buffer Zone","","Breaded Chicken","Mozzerella","Blue Cheese","Hot Sauce","-","-","","","",""
"Cheeseburg","","Hamburg","Bacon","Mozzerella","Cheddar","-","-","","","",""
"Cheeze","","Mozzerella","Ricotta","Parmesan","-","-","-","","","",""
"Chicken Fajita","","Breaded Chicken","Jalapenos","Black Olives","Onions","Hot Sauce","Cheddar","","","",""
"Chick N' Bacon","","Breaded Chicken","Bacon","Parmesan","-","-","-","","","",""
"Chicken Parmazone","","Breaded Chicken","Mozzerella","Parmesan","-","-","-","","","",""
"Combat Zone","","Pepperoni","Sausage","Peppers","Mushrooms","Mozzerella","-","","","",""
"Construction Zone","","-","-","-","-","-","-","","","",""
"Cordon Bleu","","Breaded Chicken","Ham","American","Mozzerella","-","-","","","",""
"Danger Zone","","Hamburg","Cheddar","Onions","Hot Sauce","Mexican Spices","-","","","",""
"Drop Zone","","Breaded Chicken","Pepperoni","Mozzerella","Ricotta","Parmesan","-","","","",""
"Work Zone","","Steak","Potatoes","Mozzerella","-","-","-","","","",""
"Pesto","","Pesto","Mozzerella","Tomatoes","-","-","-","","","",""
"End Zone","","Steak","Peppers","Onions","Mozzerella","-","-","","","",""
"Eggplant Zone","","Eggplant","Mozzerella","Garlic","-","-","-","","","",""
"Falling Rock Zone","","Potato","Bacon","Cheddar","Mozzerella","Sour Cream","-","","","",""
"Ham N' Egg Zone","","Eggs","Ham","Mozzerella","American","-","-","","","",""
"Hamzone","","Ham","Bacon","Mozzerella","Ricotta","-","-","","","",""
"Hori-Zone","","Eggs","Ham","Onions","Peppers","Mozzerella","-","","","",""
"Italian Zone","","Salami","Ham","Pepperoni","Mozzerella","Ricotta","Parmesan","","","",""
"Loading Zone","","Breaded Chicken","Peppers","Onions","Mozzerella","-","-","","","",""
"Low Cal Zone","","Broccoli","Garlic","Mozzerella","Cheddar","-","-","","","",""
"Mac Daddy Zone","","Macaroni","Cheese","Bacon","-","-","-","","","",""
"Maui Wowi","","Pineapple","Ham","Mozzerella","-","-","-","","","",""
"Meaty","","Meatballs","Onions","Mozzerella","-","-","-","","","",""
"OH Zone","","Steak","American","Mozzerella","-","-","-","","","",""
"Parking Zone","","Breaded Chicken","Broccoli","Mozzerella","-","-","-","","","",""
"Party Zone","","Hamburg","Pepperoni","Peppers","Onions","Cheddar","Mozzeralla","","","",""
"Turkey Club","","Turkey","Bacon","Tomato","American","Mozzerella","-","","","",""
"Twilight Zone","*","Mozzerella","Sausage","Secret Spices","-","-","-","","","",""
"Passing Zone","","Breaded Chicken","Mozzerella","Bacon","Tomatoes","Ranch","-","","","",""
"Philly Zone","","Steak","American Cheeze","Onions","Mushrooms","-","-","","","",""
"Red Zone","","Breaded Chicken","Cheddar","Onions","Hot Sauce","-","-","","","",""
"Roni Zoni","","Pepperoni","Mozzerella","Ricotta","Parmesan","-","-","","","",""
"Roni 'n Shrooms","","Pepperoni","Mozzerella","Ricotta","Mushrooms","Parmesan","-","","","",""
"Safety Zone","","Spinach","Mozzerella","Ricotta","Garlic","Olives","Mushrooms","","","",""
"School Zone","","Steak","Mushrooms","Mozzerella","-","-","-","","","",""
"Southern Cal. Zone","","Hamburg","Cheddar","Mexican Spices","-","-","-","","","",""
"Speed Zone","","Breaded Chicken","Spinach","Garlic","Mozzerella","Ricotta","-","","","",""
"Spinner","","Spinach","Mozzerella","Ricotta","Garlic","-","-","","","",""
"Sports Zone","","Sausage","Peppers","Onions","Mozzerella","-","-","","","",""
"Spud Zone","","Potato","Eggs","Bacon","Mozzerella","-","-","","","",""
"Strike Zone","","Eggplant","Spinach","Garlic","Ricotta","Mozzerella","-","","","",""
"Target Zone","","Breaded Chicken","American","Mozzerella","Ranch","-","-","","","",""
"Testing Zone","","Breaded Chicken","Pesto","Mozzerella","-","-","-","","","",""
"Time Zone","","Peppers","Onions","Mushrooms","Mozzerella","Ricotta","Parmesan","","","",""
"Veggie","","Broccoli","Mushrooms","Mozzerella","Ricotta","Parmesan","-","","","",""
"Yoko Zono","","Scrambled Eggs","Fresh Broccoli","Mushrooms","Cheddar","-","-","","","",""
"-------- ------","","","","","","","","","","",""
"Please direct feedback to","","http://tw.rpi.edu/instances/TimLebo","","","","","","","","",""
"dataset identifiers","","source","dpdoughtroy-com","dataset","menu-on-wall-transcription","","","","","",""
"Source dataset identifiers","","source","dpdoughtroy-com","dataset","menu-on-wall","","","","","",""
